# ARM64 NEON Baseline Performance — Graviton3 (AWS Graviton3, AArch64)
# Captured: 2026-03-31
# Platform: Ubuntu 22.04, AWS Graviton3 (arm64)
# Build: ./configure --enable-neon --arch=aarch64 + make -j$(nproc)
# Tool: tests/checkasm/checkasm --bench
# perf_event_paranoid=-1 required: sudo sysctl -w kernel.perf_event_paranoid=-1
# Units: cycles (lower is better). Speedup = c_cycles / neon_cycles.
# NOTE: blockdsp.fill_block_tab[0]_neon shows 0.82x regression — flagged for investigation.

# ─────────────────────────────────────────────────────────────────────
# blockdsp  (libavcodec/aarch64/blockdsp_neon.S)
# ─────────────────────────────────────────────────────────────────────
# vp9dsp — intra pred (libavcodec/aarch64/vp9intrapred_neon.S)
# Phase 1 (9 modes × 4 sizes) + Phase 2A (DIAG_DOWN_LEFT, VERT_LEFT, HOR_UP)
# ─────────────────────────────────────────────────────────────────────
vp9_dc_4x4_8bpp_neon:                                     8.3 ( 1.01x)
vp9_dc_8x8_8bpp_neon:                                    17.9 ( 1.02x)
vp9_dc_16x16_8bpp_neon:                                  26.5 ( 2.36x)
vp9_dc_32x32_8bpp_neon:                                  45.5 ( 2.90x)
vp9_dc_127_4x4_8bpp_neon:                                 7.3 ( 1.00x)
vp9_dc_128_8x8_8bpp_neon:                                 7.3 ( 0.99x)
vp9_dc_128_16x16_8bpp_neon:                              15.3 ( 1.04x)
vp9_dc_128_32x32_8bpp_neon:                              40.0 ( 1.61x)
vp9_dc_left_16x16_8bpp_neon:                             23.3 ( 1.95x)
vp9_dc_left_32x32_8bpp_neon:                             40.8 ( 2.44x)
